stop_id,stop_name,stop_lat,stop_lon,mode,mode_folder
vic:rail:FSS_DP7,Decision point 7,-37.8186022,144.9674674,train,1
vic:rail:FSS_eDP1,Elizabeth St DP1,-37.81831057,144.96519202,train,1
vic:rail:FSS_eDP2,Elizabeth St DP2,-37.81838321,144.96522411,train,1
vic:rail:FSS_eDP3,Elizabeth St DP3,-37.81833094,144.96532778,train,1
vic:rail:FSS_eDP4,Elizabeth St DP4,-37.8185195,144.96528852,train,1
vic:rail:FSS_eDP5,Elizabeth St DP5,-37.81865579,144.96535294,train,1
vic:rail:FSS_eDP6,Elizabeth St DP6,-37.81878308,144.96541761,train,1
vic:rail:FSS_eDP7,Elizabeth St DP7,-37.81887393,144.96546055,train,1
vic:rail:FSS_eDP8,Elizabeth St DP8,-37.81901003,144.96551362,train,1
vic:rail:FSS_eDP9,Elizabeth St DP9,-37.81839104,144.96515573,train,1
vic:rail:FSS_eEN1,Elizabeth St,-37.81829137,144.96512439,train,1
vic:rail:FSS_eEN2,Elizabeth St,-37.81827434,144.96518166,train,1
vic:rail:FSS_LI2,Platform 2/3 Lift,-37.81801787,144.96702903,train,1
vic:rail:FSS_LI3,Platform 4/5 Lift,-37.81813674,144.96712801,train,1
vic:rail:FSS_LI4,Platform 6/7 Lift,-37.81832766,144.96722501,train,1
vic:rail:FSS_LI5,Platform 8/9 Lift,-37.81847295,144.96728919,train,1
vic:rail:FSS_LI7,Platform 1 lift,-37.81809207,144.96610683,train,1
vic:rail:FSS_sEN1,Flinders St,-37.81771436,144.9671964,train,1
vic:rail:FSS_sEN2,Swanston St,-37.81798851,144.96741608,train,1
vic:rail:FSS_sEN3,Swanston St,-37.8184334,144.96760835,train,1
vic:rail:FSS_yDP1,Yarra River DP1,-37.81905546,144.96553509,train,1
vic:rail:FSS_yDP2,Yarra River DP2,-37.819095,144.96521592,train,1
vic:rail:FSS_yEN1,Yarra River,-37.81913594,144.9654988,train,1
vic:rail:FSS_yEN2,Yarra River,-37.81912966,144.96513545,train,1
vic:rail:FSY,Footscray Railway Station,-37.80141343,144.90202006,train,1
vic:rail:FSY_BR1,Bike & Ride,-37.80160006,144.9013674,train,1
vic:rail:FSY_CN1,Concourse,-37.80161352,144.90161689,train,1
vic:rail:FSY_ConX,Connex,-37.80108298,144.90319922,train,1
vic:rail:FSY_DP1,Decision point 1,-37.80134796,144.90188562,train,1
vic:rail:FSY_DP2,Decision point 2,-37.80184801,144.90112188,train,1
vic:rail:FSY_DP3,Decision point 3,-37.80164418,144.90182045,train,1
vic:rail:FSY_DP4,Decision point 4,-37.80170561,144.90172785,train,1
vic:rail:FSY_DP5,Decision point 5,-37.80179872,144.90189558,train,1
vic:rail:FSY_DP6,Decision point 6,-37.80194647,144.90209583,train,1
vic:rail:FSY_DP7,Decision point 7,-37.80207895,144.90194444,train,1
vic:rail:FSY_DP8,Decision point 8,-37.80204211,144.90190005,train,1
vic:rail:FSY_DP9,Decision point 9,-37.80206619,144.90224009,train,1
vic:rail:FSY_EN1,Irving St,-37.80107601,144.90230218,train,1
vic:rail:FSY_EN10,Hyde St,-37.80201559,144.9024346,train,1
vic:rail:FSY_EN11,Hyde St,-37.8022602,144.90250718,train,1
vic:rail:FSY_EN12,Hyde St,-37.80216588,144.90227134,train,1
vic:rail:FSY_EN2,Irving St,-37.80128389,144.90183065,train,1
vic:rail:FSY_EN3,Irving St,-37.80144076,144.90153092,train,1
vic:rail:FSY_EN4,Irving St,-37.80149157,144.90134776,train,1
vic:rail:FSY_EN5,Irving St,-37.80175673,144.90105632,train,1
vic:rail:FSY_EN6,McNab Ave,-37.80189739,144.90187007,train,1
vic:rail:FSY_EN7,McNab Ave,-37.80173071,144.90212465,train,1
vic:rail:FSY_EN8,McNab Ave,-37.80187442,144.90209787,train,1
vic:rail:FSY_EN9,McNab Ave,-37.80177695,144.90219149,train,1
vic:rail:FSY_KR1,Kiss & Ride,-37.80091014,144.90260217,train,1
vic:rail:FSY_LI1,Irving St,-37.80149582,144.90158614,train,1
vic:rail:FSY_LI2,Lift 2,-37.80168061,144.90184214,train,1
vic:rail:FSY_LI3,McNab Ave,-37.80187897,144.90184788,train,1
vic:rail:FSY_LI4,Hyde St,-37.80214746,144.90224915,train,1
vic:rail:FSY_PR1,Park & Ride,-37.80301327,144.9017817,train,1
vic:rail:FSY_TX1,Taxi Zone,-37.80174165,144.90071602,train,1
vic:rail:GEL,Geelong Railway Station,-38.14470898,144.3549152,train,1
vic:rail:GIS,Gisborne Railway Station,-37.4588255,144.59872157,train,1
vic:rail:GRG,Goornong Railway Station,-36.61518327,144.50347417,train,1
vic:rail:HCJ,Heathcote Junction Railway Station,-37.37172322,145.02824986,train,1
vic:rail:HUY,Huntly Railway Station,-36.66584794,144.36982046,train,1
vic:rail:KET,Kilmore East Station,-37.29321027,144.98356599,train,1
vic:rail:KFT,Kangaroo Flat Railway Station,-36.79483364,144.24899016,train,1
vic:rail:KYN,Kyneton Railway Station,-37.25827885,144.45060159,train,1
vic:rail:MBY,Malmsbury Railway Station,-37.18974032,144.37532317,train,1
vic:rail:MDN,Macedon Railway Station,-37.42357331,144.56139685,train,1
